municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
San Agustín del Guadalix                    ;2020/04/10 07:00:00;19;130,47;33;226,6;1296
Las Rozas de Madrid                         ;2020/04/10 07:00:00;246;256,66;485;506,01;1277
Moraleja de Enmedio                         ;2020/04/10 07:00:00;6;112,02;20;373,41;894
Valdaracete                                 ;2020/04/10 07:00:00;;658,98;;823,72;1551
Pozuelo del Rey                             ;2020/04/10 07:00:00;;0;;202,02;1163
Puebla de la Sierra                         ;2020/04/10 07:00:00;;0;;0;1185
Perales de Tajuña                           ;2020/04/10 07:00:00;;80,58;6;161,16;1104
Valdemorillo                                ;2020/04/10 07:00:00;16;132;25;206,25;1603
Navalafuente                                ;2020/04/10 07:00:00;;251,89;;377,83;941
Velilla de San Antonio                      ;2020/04/10 07:00:00;25;200,11;50;400,22;1678
Villanueva de la Cañada                     ;2020/04/10 07:00:00;25;102,53;67;274,77;1760
Villanueva del Pardillo                     ;2020/04/10 07:00:00;13;76,97;59;349,34;1776
Nuevo Baztán                                ;2020/04/10 07:00:00;7;105,31;23;346,02;1006
Villamantilla                               ;2020/04/10 07:00:00;;118,48;7;829,38;1757
Villamanta                                  ;2020/04/10 07:00:00;;234,63;6;281,56;1744
Cabanillas de la Sierra                     ;2020/04/10 07:00:00;;690,85;9;1554,4;297
Cenicientos                                 ;2020/04/10 07:00:00;;152,98;15;764,92;376
Puentes Viejas                              ;2020/04/10 07:00:00;;0;;218,82;9020
Aranjuez                                    ;2020/04/10 07:00:00;153;241,21;343;540,75;133
Cercedilla                                  ;2020/04/10 07:00:00;34;454,12;68;908,24;382
Santorcaz                                   ;2020/04/10 07:00:00;;176,68;7;1236,75;1369
Coslada                                     ;2020/04/10 07:00:00;267;302,03;602;680,97;493
Morata de Tajuña                            ;2020/04/10 07:00:00;15;193,12;77;991,37;915
Robregordo                                  ;2020/04/10 07:00:00;;0;;0;1261
Navarredonda y San Mamés                    ;2020/04/10 07:00:00;;0;;1204,82;973
Venturada                                   ;2020/04/10 07:00:00;;70,82;;70,82;1697
Navacerrada                                 ;2020/04/10 07:00:00;;143,47;10;358,68;936
Montejo de la Sierra                        ;2020/04/10 07:00:00;;279,33;;279,33;881
Fresno de Torote                            ;2020/04/10 07:00:00;;333,06;13;1082,43;571
Pinilla del Valle                           ;2020/04/10 07:00:00;;0;;0;1126
Valdemaqueda                                ;2020/04/10 07:00:00;;233,92;;350,88;1599
Navas del Rey                               ;2020/04/10 07:00:00;6;203,8;42;1426,63;992
Olmeda de las Fuentes                       ;2020/04/10 07:00:00;;0;;1244,81;1013
Bustarviejo                                 ;2020/04/10 07:00:00;;281,37;6;337,65;284
Becerril de la Sierra                       ;2020/04/10 07:00:00;12;207,9;21;363,83;186
Fuenlabrada                                 ;2020/04/10 07:00:00;430;210,77;1105;541,63;587
Garganta de los Montes                      ;2020/04/10 07:00:00;;0;;364,96;626
Pinto                                       ;2020/04/10 07:00:00;57;107,24;169;317,96;1132
Alameda del Valle                           ;2020/04/10 07:00:00;;0;;0;35
Berzosa del Lozoya                          ;2020/04/10 07:00:00;;657,89;;657,89;203
Los Santos de la Humosa                     ;2020/04/10 07:00:00;;178,68;17;1012,51;1375
El Álamo                                    ;2020/04/10 07:00:00;13;131,67;30;303,86;40
Pelayos de la Presa                         ;2020/04/10 07:00:00;;150,09;15;562,85;1090
Galapagar                                   ;2020/04/10 07:00:00;53;159,78;127;382,88;611
Griñón                                      ;2020/04/10 07:00:00;27;233,85;65;562,97;663
Gargantilla del Lozoya y Pinilla de Buitrago;2020/04/10 07:00:00;;0;;1027,4;632
Aldea del Fresno                            ;2020/04/10 07:00:00;6;198,94;28;928,38;88
Carabaña                                    ;2020/04/10 07:00:00;;228,83;11;629,29;357
Talamanca de Jarama                         ;2020/04/10 07:00:00;14;447;19;606,64;1454
Chapinería                                  ;2020/04/10 07:00:00;;131,12;6;262,24;513
Ciempozuelos                                ;2020/04/10 07:00:00;38;148,06;139;541,57;409
Ajalvir                                     ;2020/04/10 07:00:00;;84,28;8;168,56;29
San Lorenzo de El Escorial                  ;2020/04/10 07:00:00;25;141,12;59;333,05;1317
Gascones                                    ;2020/04/10 07:00:00;;0;;0;647
San Martín de la Vega                       ;2020/04/10 07:00:00;14;68,75;56;274,98;1322
Móstoles                                    ;2020/04/10 07:00:00;656;300,16;1355;620;920
Leganés                                     ;2020/04/10 07:00:00;1191;604,85;2314;1175,17;745
Braojos                                     ;2020/04/10 07:00:00;;621,12;;1242,24;246
Cubas de la Sagra                           ;2020/04/10 07:00:00;6;108,21;17;306,58;506
Algete                                      ;2020/04/10 07:00:00;52;234,18;72;324,25;91
Mejorada del Campo                          ;2020/04/10 07:00:00;68;277,48;143;583,53;843
Loeches                                     ;2020/04/10 07:00:00;23;331,84;45;649,26;758
Parla                                       ;2020/04/10 07:00:00;240;175,56;569;416,22;1065
Fuentidueña de Tajo                         ;2020/04/10 07:00:00;;100,86;15;756,43;604
Ambite                                      ;2020/04/10 07:00:00;;601,2;6;1202,4;112
Torremocha de Jarama                        ;2020/04/10 07:00:00;;249,07;8;996,26;1533
Anchuelo                                    ;2020/04/10 07:00:00;;261,78;7;916,23;127
Los Molinos                                 ;2020/04/10 07:00:00;16;399,3;36;898,43;875
Soto del Real                               ;2020/04/10 07:00:00;25;255,21;48;490;1441
Valverde de Alcalá                          ;2020/04/10 07:00:00;;1127,82;6;2255,64;1662
Fuente el Saz de Jarama                     ;2020/04/10 07:00:00;12;140,52;17;199,06;590
Horcajo de la Sierra-Aoslos                 ;2020/04/10 07:00:00;;1470,59;;4411,76;702
Valdeolmos-Alalpardo                        ;2020/04/10 07:00:00;;73,8;8;295,2;1625
Campo Real                                  ;2020/04/10 07:00:00;14;232,4;20;332,01;339
Valdeavero                                  ;2020/04/10 07:00:00;;94,97;7;664,77;1564
Villamanrique de Tajo                       ;2020/04/10 07:00:00;;0;;293,69;1739
Cobeña                                      ;2020/04/10 07:00:00;11;147,51;28;375,49;416
Fresnedillas de la Oliva                    ;2020/04/10 07:00:00;;73,53;;220,59;565
Valdilecha                                  ;2020/04/10 07:00:00;;196;11;431,2;1659
El Berrueco                                 ;2020/04/10 07:00:00;7;1090,34;7;1090,34;210
Pezuela de las Torres                       ;2020/04/10 07:00:00;;0;;384,62;1111
Villar del Olmo                             ;2020/04/10 07:00:00;;199;;298,51;1795
Guadarrama                                  ;2020/04/10 07:00:00;48;303,84;80;506,39;685
San Martín de Valdeiglesias                 ;2020/04/10 07:00:00;16;187,6;47;551,06;1338
Torrelodones                                ;2020/04/10 07:00:00;55;212,08;100;385,59;1527
Boadilla del Monte                          ;2020/04/10 07:00:00;72;136,27;182;344,46;225
Torrejón de Velasco                         ;2020/04/10 07:00:00;6;151,86;15;379,65;1505
Villanueva de Perales                       ;2020/04/10 07:00:00;;414,94;;414,94;1782
Tielmes                                     ;2020/04/10 07:00:00;7;310,7;28;1242,79;1467
San Sebastián de los Reyes                  ;2020/04/10 07:00:00;211;230;356;388,05;1343
Guadalix de la Sierra                       ;2020/04/10 07:00:00;11;184,41;25;419,11;679
Humanes de Madrid                           ;2020/04/10 07:00:00;31;150,43;77;373,64;730
Chinchón                                    ;2020/04/10 07:00:00;13;251,89;22;426,27;528
Cadalso de los Vidrios                      ;2020/04/10 07:00:00;;65,72;6;197,17;318
Hoyo de Manzanares                          ;2020/04/10 07:00:00;10;130,53;19;248,01;724
Torrejón de la Calzada                      ;2020/04/10 07:00:00;7;81,2;20;231,99;1492
Estremera                                   ;2020/04/10 07:00:00;;164,74;;247,12;552
Corpa                                       ;2020/04/10 07:00:00;;239,81;6;1438,85;480
Meco                                        ;2020/04/10 07:00:00;29;207,41;112;801,03;838
Madarcos                                    ;2020/04/10 07:00:00;;0;;0;783
Zarzalejo                                   ;2020/04/10 07:00:00;;186,68;;248,91;1837
Arganda del Rey                             ;2020/04/10 07:00:00;126;217,45;262;452,16;148
Collado Mediano                             ;2020/04/10 07:00:00;8;121,71;11;167,35;468
Daganzo de Arriba                           ;2020/04/10 07:00:00;13;119,99;36;332,29;534
Manzanares El Real                          ;2020/04/10 07:00:00;15;173,05;24;276,88;822
Buitrago del Lozoya                         ;2020/04/10 07:00:00;;176,6;11;485,65;278
Valdelaguna                                 ;2020/04/10 07:00:00;;121,36;;121,36;1570
Valdepiélagos                               ;2020/04/10 07:00:00;;0;;0;1631
Casarrubuelos                               ;2020/04/10 07:00:00;;146,71;9;264,08;360
Miraflores de la Sierra                     ;2020/04/10 07:00:00;10;181,23;27;489,31;856
Paracuellos de Jarama                       ;2020/04/10 07:00:00;31;134,73;59;256,42;1049
El Vellón                                   ;2020/04/10 07:00:00;;281,69;11;774,65;1684
Lozoya                                      ;2020/04/10 07:00:00;;0;;236,97;761
Collado Villalba                            ;2020/04/10 07:00:00;129;186,21;253;365,21;474
Colmenarejo                                 ;2020/04/10 07:00:00;9;111,26;19;234,89;442
Villavieja del Lozoya                       ;2020/04/10 07:00:00;;0;;0;1821
Prádena del Rincón                          ;2020/04/10 07:00:00;;0;;0;1179
La Cabrera                                  ;2020/04/10 07:00:00;;164,96;8;263,94;301
Sevilla la Nueva                            ;2020/04/10 07:00:00;16;160,82;27;271,38;1415
La Acebeda                                  ;2020/04/10 07:00:00;;0;;0;14
Redueña                                     ;2020/04/10 07:00:00;;0;;584,8;1219
Robledillo de la Jara                       ;2020/04/10 07:00:00;;1851,85;;1851,85;1245
La Serna del Monte                          ;2020/04/10 07:00:00;;0;;0;1381
Colmenar de Oreja                           ;2020/04/10 07:00:00;8;111,16;19;264;437
Rozas de Puerto Real                        ;2020/04/10 07:00:00;;0;;0;1283
Valdemanco                                  ;2020/04/10 07:00:00;;0;;0;1586
Brunete                                     ;2020/04/10 07:00:00;9;79,7;46;407,37;262
Titulcia                                    ;2020/04/10 07:00:00;;201,21;;503,02;1473
Villa del Prado                             ;2020/04/10 07:00:00;25;378,96;43;651,81;1718
Lozoyuela-Navas-Sieteiglesias               ;2020/04/10 07:00:00;;261,55;;261,55;9015
Quijorna                                    ;2020/04/10 07:00:00;;254,71;12;611,31;1198
Valdemoro                                   ;2020/04/10 07:00:00;83;108,64;539;705,52;1610
Tres Cantos                                 ;2020/04/10 07:00:00;143;297,61;240;499,48;9036
Torrelaguna                                 ;2020/04/10 07:00:00;9;177,87;12;237,15;1512
Rivas-Vaciamadrid                           ;2020/04/10 07:00:00;197;228,72;440;510,85;1230
El Atazar                                   ;2020/04/10 07:00:00;;0;;0;164
Pedrezuela                                  ;2020/04/10 07:00:00;9;162,63;15;271,05;1087
Santa María de la Alameda                   ;2020/04/10 07:00:00;;105,71;;105,71;1356
Horcajuelo de la Sierra                     ;2020/04/10 07:00:00;;0;;0;719
Arroyomolinos                               ;2020/04/10 07:00:00;62;237,65;120;459,96;151
Moralzarzal                                 ;2020/04/10 07:00:00;30;230,38;51;391,64;908
Canencia                                    ;2020/04/10 07:00:00;;271;;271;344
Villarejo de Salvanés                       ;2020/04/10 07:00:00;14;183,7;32;419,89;1809
Serranillos del Valle                       ;2020/04/10 07:00:00;;105,29;13;342,2;1408
Villaviciosa de Odón                        ;2020/04/10 07:00:00;47;169,43;139;501,08;1816
Camarma de Esteruelas                       ;2020/04/10 07:00:00;8;112,41;35;491,78;323
Robledo de Chavela                          ;2020/04/10 07:00:00;7;185,68;10;265,25;1258
Patones                                     ;2020/04/10 07:00:00;;436,68;;655,02;1071
Navalagamella                               ;2020/04/10 07:00:00;;44,44;;222,22;954
Rascafría                                   ;2020/04/10 07:00:00;;203,67;;339,44;1202
El Boalo                                    ;2020/04/10 07:00:00;13;205,53;22;347,83;231
Majadahonda                                 ;2020/04/10 07:00:00;107;137,23;315;404,01;800
Batres                                      ;2020/04/10 07:00:00;;224,72;6;1348,31;170
Alcobendas                                  ;2020/04/10 07:00:00;213;175,72;407;335,77;66
Alcalá de Henares                           ;2020/04/10 07:00:00;507;242,53;1987;950,51;53
Colmenar Viejo                              ;2020/04/10 07:00:00;141;279,75;227;450,37;455
San Fernando de Henares                     ;2020/04/10 07:00:00;129;306,95;293;697,17;1300
Villalbilla                                 ;2020/04/10 07:00:00;14;125,28;78;697,99;1723
El Escorial                                 ;2020/04/10 07:00:00;16;96,25;42;252,66;549
Colmenar del Arroyo                         ;2020/04/10 07:00:00;;0;;259,24;421
Torrejón de Ardoz                           ;2020/04/10 07:00:00;195;141,01;792;572,71;1489
Piñuécar-Gandullas                          ;2020/04/10 07:00:00;;0;;0;1147
Brea de Tajo                                ;2020/04/10 07:00:00;;272,11;;408,16;259
El Molar                                    ;2020/04/10 07:00:00;17;177,19;25;260,58;869
Belmonte de Tajo                            ;2020/04/10 07:00:00;;0;;144,61;199
Torres de la Alameda                        ;2020/04/10 07:00:00;20;242,72;56;679,61;1548
Somosierra                                  ;2020/04/10 07:00:00;;1612,9;;1612,9;1436
Alpedrete                                   ;2020/04/10 07:00:00;29;200,93;71;491,93;105
Orusco de Tajuña                            ;2020/04/10 07:00:00;11;996,38;16;1449,28;1028
La Hiruela                                  ;2020/04/10 07:00:00;;9090,91;;9090,91;698
Cervera de Buitrago                         ;2020/04/10 07:00:00;;925,93;;925,93;395
Getafe                                      ;2020/04/10 07:00:00;374;195,4;819;427,9;650
Ribatejada                                  ;2020/04/10 07:00:00;;0;;227,79;1224
Villaconejos                                ;2020/04/10 07:00:00;;22,54;8;180,34;1701
Valdetorres de Jarama                       ;2020/04/10 07:00:00;;125,72;11;276,59;1646
Madrid-Retiro                               ;2020/04/09 07:00:00;446;461,54;948;981,04;79603
Madrid-Salamanca                            ;2020/04/09 07:00:00;534;339,39;1159;736,62;79604
Madrid-Centro                               ;2020/04/09 07:00:00;420;295,3;782;549,82;79601
Madrid-Arganzuela                           ;2020/04/09 07:00:00;580;325,11;1101;617,15;79602
Madrid-Chamartín                            ;2020/04/09 07:00:00;518;352,66;1092;743,44;79605
Madrid-Tetuán                               ;2020/04/09 07:00:00;777;475,29;1527;934,07;79606
Madrid-Chamberí                             ;2020/04/09 07:00:00;514;346,17;952;641,16;79607
Madrid-Fuencarral-El Pardo                  ;2020/04/09 07:00:00;1109;493,9;2088;929,9;79608
Madrid-Moncloa-Aravaca                      ;2020/04/09 07:00:00;409;322,34;833;656,51;79609
Madrid-Latina                               ;2020/04/09 07:00:00;902;361,42;1628;652,32;79610
Madrid-Carabanchel                          ;2020/04/09 07:00:00;751;304,77;1644;667,16;79611
Madrid-Usera                                ;2020/04/09 07:00:00;436;293,7;945;636,57;79612
Madrid-Puente de Vallecas                   ;2020/04/09 07:00:00;1092;427;2205;862,22;79613
Madrid-San Blas - Canillejas                ;2020/04/09 07:00:00;546;393,16;1088;783,44;79620
Madrid-Barajas                              ;2020/04/09 07:00:00;157;298,02;316;599,84;79621
Madrid-Moratalaz                            ;2020/04/09 07:00:00;531;404,85;1000;762,43;79614
Madrid-Ciudad Lineal                        ;2020/04/09 07:00:00;711;268,65;1378;520,68;79615
Madrid-Hortaleza                            ;2020/04/09 07:00:00;677;320,44;1314;621,94;79616
Madrid-Villaverde                           ;2020/04/09 07:00:00;401;252,13;988;621,22;79617
Madrid-Villa de Vallecas                    ;2020/04/09 07:00:00;400;375,13;956;896,57;79618
Madrid-Vicálvaro                            ;2020/04/09 07:00:00;290;550,84;592;1124,47;79619
Pozuelo de Alarcón                          ;2020/04/09 07:00:00;142;160,82;393;445,07;1150
Alcorcón                                    ;2020/04/09 07:00:00;699;399,79;1158;662,32;72
Navalcarnero                                ;2020/04/09 07:00:00;57;201,92;109;386,13;967
San Agustín del Guadalix                    ;2020/04/09 07:00:00;21;144,2;33;226,6;1296
Las Rozas de Madrid                         ;2020/04/09 07:00:00;266;277,52;480;500,79;1277
Moraleja de Enmedio                         ;2020/04/09 07:00:00;;74,68;18;336,07;894
Valdaracete                                 ;2020/04/09 07:00:00;;658,98;;823,72;1551
Pozuelo del Rey                             ;2020/04/09 07:00:00;;0;;202,02;1163
Puebla de la Sierra                         ;2020/04/09 07:00:00;;0;;0;1185
Perales de Tajuña                           ;2020/04/09 07:00:00;;107,44;6;161,16;1104
Valdemorillo                                ;2020/04/09 07:00:00;15;123,75;24;198;1603
Navalafuente                                ;2020/04/09 07:00:00;;251,89;;377,83;941
Velilla de San Antonio                      ;2020/04/09 07:00:00;27;216,12;49;392,22;1678
Villanueva de la Cañada                     ;2020/04/09 07:00:00;27;110,73;66;270,67;1760
Villanueva del Pardillo                     ;2020/04/09 07:00:00;14;82,89;59;349,34;1776
Nuevo Baztán                                ;2020/04/09 07:00:00;6;90,27;22;330,98;1006
Villamantilla                               ;2020/04/09 07:00:00;;118,48;7;829,38;1757
Villamanta                                  ;2020/04/09 07:00:00;;234,63;6;281,56;1744
Cabanillas de la Sierra                     ;2020/04/09 07:00:00;;518,13;8;1381,69;297
Cenicientos                                 ;2020/04/09 07:00:00;;101,99;14;713,92;376
Puentes Viejas                              ;2020/04/09 07:00:00;;0;;218,82;9020
Aranjuez                                    ;2020/04/09 07:00:00;161;253,82;336;529,71;133
Cercedilla                                  ;2020/04/09 07:00:00;27;360,63;58;774,68;382
Santorcaz                                   ;2020/04/09 07:00:00;;176,68;7;1236,75;1369
Coslada                                     ;2020/04/09 07:00:00;307;347,27;601;679,84;493
Morata de Tajuña                            ;2020/04/09 07:00:00;20;257,5;76;978,5;915
Robregordo                                  ;2020/04/09 07:00:00;;0;;0;1261
Navarredonda y San Mamés                    ;2020/04/09 07:00:00;;0;;1204,82;973
Venturada                                   ;2020/04/09 07:00:00;;70,82;;70,82;1697
Navacerrada                                 ;2020/04/09 07:00:00;;179,34;10;358,68;936
Montejo de la Sierra                        ;2020/04/09 07:00:00;;279,33;;279,33;881
Fresno de Torote                            ;2020/04/09 07:00:00;7;582,85;13;1082,43;571
Pinilla del Valle                           ;2020/04/09 07:00:00;;0;;0;1126
Valdemaqueda                                ;2020/04/09 07:00:00;;233,92;;350,88;1599
Navas del Rey                               ;2020/04/09 07:00:00;6;203,8;41;1392,66;992
Olmeda de las Fuentes                       ;2020/04/09 07:00:00;;0;;1244,81;1013
Bustarviejo                                 ;2020/04/09 07:00:00;;225,1;;281,37;284
Becerril de la Sierra                       ;2020/04/09 07:00:00;12;207,9;20;346,5;186
Fuenlabrada                                 ;2020/04/09 07:00:00;436;213,71;1056;517,61;587
Garganta de los Montes                      ;2020/04/09 07:00:00;;0;;364,96;626
Pinto                                       ;2020/04/09 07:00:00;54;101,6;157;295,38;1132
Alameda del Valle                           ;2020/04/09 07:00:00;;0;;0;35
Berzosa del Lozoya                          ;2020/04/09 07:00:00;;657,89;;657,89;203
Los Santos de la Humosa                     ;2020/04/09 07:00:00;;178,68;17;1012,51;1375
El Álamo                                    ;2020/04/09 07:00:00;11;111,41;26;263,34;40
Pelayos de la Presa                         ;2020/04/09 07:00:00;;187,62;15;562,85;1090
Galapagar                                   ;2020/04/09 07:00:00;57;171,84;124;373,83;611
Griñón                                      ;2020/04/09 07:00:00;36;311,8;64;554,3;663
Gargantilla del Lozoya y Pinilla de Buitrago;2020/04/09 07:00:00;;0;;1027,4;632
Aldea del Fresno                            ;2020/04/09 07:00:00;15;497,35;28;928,38;88
Carabaña                                    ;2020/04/09 07:00:00;;286,04;10;572,08;357
Talamanca de Jarama                         ;2020/04/09 07:00:00;13;415,07;18;574,71;1454
Chapinería                                  ;2020/04/09 07:00:00;;131,12;6;262,24;513
Ciempozuelos                                ;2020/04/09 07:00:00;44;171,43;137;533,78;409
Ajalvir                                     ;2020/04/09 07:00:00;;84,28;7;147,49;29
San Lorenzo de El Escorial                  ;2020/04/09 07:00:00;26;146,77;58;327,41;1317
Gascones                                    ;2020/04/09 07:00:00;;0;;0;647
San Martín de la Vega                       ;2020/04/09 07:00:00;18;88,39;56;274,98;1322
Móstoles                                    ;2020/04/09 07:00:00;724;331,28;1293;591,63;920
Leganés                                     ;2020/04/09 07:00:00;1294;657,16;2281;1158,41;745
Braojos                                     ;2020/04/09 07:00:00;;621,12;;1242,24;246
Cubas de la Sagra                           ;2020/04/09 07:00:00;8;144,27;16;288,55;506
Algete                                      ;2020/04/09 07:00:00;54;243,19;71;319,75;91
Mejorada del Campo                          ;2020/04/09 07:00:00;73;297,89;141;575,37;843
Loeches                                     ;2020/04/09 07:00:00;29;418,41;45;649,26;758
Parla                                       ;2020/04/09 07:00:00;275;201,16;560;409,64;1065
Fuentidueña de Tajo                         ;2020/04/09 07:00:00;;151,29;15;756,43;604
Ambite                                      ;2020/04/09 07:00:00;;601,2;;1002;112
Torremocha de Jarama                        ;2020/04/09 07:00:00;;498,13;8;996,26;1533
Anchuelo                                    ;2020/04/09 07:00:00;;130,89;6;785,34;127
Los Molinos                                 ;2020/04/09 07:00:00;18;449,21;35;873,47;875
Soto del Real                               ;2020/04/09 07:00:00;29;296,04;48;490;1441
Valverde de Alcalá                          ;2020/04/09 07:00:00;;1127,82;6;2255,64;1662
Fuente el Saz de Jarama                     ;2020/04/09 07:00:00;12;140,52;17;199,06;590
Horcajo de la Sierra-Aoslos                 ;2020/04/09 07:00:00;;1470,59;;4411,76;702
Valdeolmos-Alalpardo                        ;2020/04/09 07:00:00;;110,7;8;295,2;1625
Campo Real                                  ;2020/04/09 07:00:00;14;232,4;19;315,41;339
Valdeavero                                  ;2020/04/09 07:00:00;;189,93;7;664,77;1564
Villamanrique de Tajo                       ;2020/04/09 07:00:00;;0;;293,69;1739
Cobeña                                      ;2020/04/09 07:00:00;14;187,74;28;375,49;416
Fresnedillas de la Oliva                    ;2020/04/09 07:00:00;;73,53;;220,59;565
Valdilecha                                  ;2020/04/09 07:00:00;8;313,6;11;431,2;1659
El Berrueco                                 ;2020/04/09 07:00:00;7;1090,34;7;1090,34;210
Pezuela de las Torres                       ;2020/04/09 07:00:00;;192,31;;384,62;1111
Villar del Olmo                             ;2020/04/09 07:00:00;;199;;298,51;1795
Guadarrama                                  ;2020/04/09 07:00:00;44;278,52;75;474,74;685
San Martín de Valdeiglesias                 ;2020/04/09 07:00:00;21;246,22;46;539,34;1338
Torrelodones                                ;2020/04/09 07:00:00;59;227,5;99;381,74;1527
Boadilla del Monte                          ;2020/04/09 07:00:00;78;147,62;181;342,56;225
Torrejón de Velasco                         ;2020/04/09 07:00:00;6;151,86;15;379,65;1505
Villanueva de Perales                       ;2020/04/09 07:00:00;;414,94;;414,94;1782
Tielmes                                     ;2020/04/09 07:00:00;24;1065,25;28;1242,79;1467
San Sebastián de los Reyes                  ;2020/04/09 07:00:00;240;261,61;348;379,33;1343
Guadalix de la Sierra                       ;2020/04/09 07:00:00;14;234,7;25;419,11;679
Humanes de Madrid                           ;2020/04/09 07:00:00;33;160,13;74;359,08;730
Chinchón                                    ;2020/04/09 07:00:00;10;193,76;19;368,15;528
Cadalso de los Vidrios                      ;2020/04/09 07:00:00;;65,72;;164,31;318
Hoyo de Manzanares                          ;2020/04/09 07:00:00;10;130,53;19;248,01;724
Torrejón de la Calzada                      ;2020/04/09 07:00:00;8;92,8;20;231,99;1492
Estremera                                   ;2020/04/09 07:00:00;;164,74;;247,12;552
Corpa                                       ;2020/04/09 07:00:00;;479,62;6;1438,85;480
Meco                                        ;2020/04/09 07:00:00;35;250,32;111;793,88;838
Madarcos                                    ;2020/04/09 07:00:00;;0;;0;783
Zarzalejo                                   ;2020/04/09 07:00:00;;124,46;;186,68;1837
Arganda del Rey                             ;2020/04/09 07:00:00;153;264,05;260;448,71;148
Collado Mediano                             ;2020/04/09 07:00:00;8;121,71;10;152,14;468
Daganzo de Arriba                           ;2020/04/09 07:00:00;16;147,68;35;323,06;534
Manzanares El Real                          ;2020/04/09 07:00:00;16;184,59;23;265,34;822
Buitrago del Lozoya                         ;2020/04/09 07:00:00;;176,6;11;485,65;278
Valdelaguna                                 ;2020/04/09 07:00:00;;121,36;;121,36;1570
Valdepiélagos                               ;2020/04/09 07:00:00;;0;;0;1631
Casarrubuelos                               ;2020/04/09 07:00:00;;146,71;9;264,08;360
Miraflores de la Sierra                     ;2020/04/09 07:00:00;11;199,35;25;453,06;856
Paracuellos de Jarama                       ;2020/04/09 07:00:00;38;165,15;59;256,42;1049
El Vellón                                   ;2020/04/09 07:00:00;;352,11;11;774,65;1684
Lozoya                                      ;2020/04/09 07:00:00;;0;;236,97;761
Collado Villalba                            ;2020/04/09 07:00:00;135;194,88;237;342,11;474
Colmenarejo                                 ;2020/04/09 07:00:00;7;86,54;17;210,16;442
Villavieja del Lozoya                       ;2020/04/09 07:00:00;;0;;0;1821
Prádena del Rincón                          ;2020/04/09 07:00:00;;0;;0;1179
La Cabrera                                  ;2020/04/09 07:00:00;6;197,95;8;263,94;301
Sevilla la Nueva                            ;2020/04/09 07:00:00;14;140,72;24;241,23;1415
La Acebeda                                  ;2020/04/09 07:00:00;;0;;0;14
Redueña                                     ;2020/04/09 07:00:00;;0;;584,8;1219
Robledillo de la Jara                       ;2020/04/09 07:00:00;;1851,85;;1851,85;1245
La Serna del Monte                          ;2020/04/09 07:00:00;;0;;0;1381
Colmenar de Oreja                           ;2020/04/09 07:00:00;9;125,05;18;250,1;437
Rozas de Puerto Real                        ;2020/04/09 07:00:00;;0;;0;1283
Valdemanco                                  ;2020/04/09 07:00:00;;0;;0;1586
Brunete                                     ;2020/04/09 07:00:00;8;70,85;44;389,66;262
Titulcia                                    ;2020/04/09 07:00:00;;301,81;;503,02;1473
Villa del Prado                             ;2020/04/09 07:00:00;34;515,39;42;636,65;1718
Lozoyuela-Navas-Sieteiglesias               ;2020/04/09 07:00:00;;261,55;;261,55;9015
Quijorna                                    ;2020/04/09 07:00:00;6;305,65;12;611,31;1198
Valdemoro                                   ;2020/04/09 07:00:00;82;107,33;528;691,12;1610
Tres Cantos                                 ;2020/04/09 07:00:00;149;310,09;235;489,07;9036
Torrelaguna                                 ;2020/04/09 07:00:00;9;177,87;12;237,15;1512
Rivas-Vaciamadrid                           ;2020/04/09 07:00:00;245;284,45;434;503,88;1230
El Atazar                                   ;2020/04/09 07:00:00;;0;;0;164
Pedrezuela                                  ;2020/04/09 07:00:00;9;162,63;14;252,98;1087
Santa María de la Alameda                   ;2020/04/09 07:00:00;;0;;0;1356
Horcajuelo de la Sierra                     ;2020/04/09 07:00:00;;0;;0;719
Arroyomolinos                               ;2020/04/09 07:00:00;65;249,15;110;421,63;151
Moralzarzal                                 ;2020/04/09 07:00:00;35;268,78;48;368,61;908
Canencia                                    ;2020/04/09 07:00:00;;271;;271;344
Villarejo de Salvanés                       ;2020/04/09 07:00:00;15;196,82;31;406,77;1809
Serranillos del Valle                       ;2020/04/09 07:00:00;;105,29;13;342,2;1408
Villaviciosa de Odón                        ;2020/04/09 07:00:00;67;241,53;132;475,85;1816
Camarma de Esteruelas                       ;2020/04/09 07:00:00;12;168,61;35;491,78;323
Robledo de Chavela                          ;2020/04/09 07:00:00;7;185,68;10;265,25;1258
Patones                                     ;2020/04/09 07:00:00;;436,68;;655,02;1071
Navalagamella                               ;2020/04/09 07:00:00;;44,44;;222,22;954
Rascafría                                   ;2020/04/09 07:00:00;;271,55;;339,44;1202
El Boalo                                    ;2020/04/09 07:00:00;15;237,15;22;347,83;231
Majadahonda                                 ;2020/04/09 07:00:00;121;155,19;316;405,29;800
Batres                                      ;2020/04/09 07:00:00;;224,72;6;1348,31;170
Alcobendas                                  ;2020/04/09 07:00:00;238;196,35;399;329,17;66
Alcalá de Henares                           ;2020/04/09 07:00:00;655;313,33;1966;940,46;53
Colmenar Viejo                              ;2020/04/09 07:00:00;145;287,68;222;440,45;455
San Fernando de Henares                     ;2020/04/09 07:00:00;148;352,15;290;690,03;1300
