municipio_distrito;fecha_informe;casos_confirmados_activos_ultimos_14dias;tasa_incidencia_acumulada_activos_ultimos_14dias;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Garganta de los Montes;2020/09/15 10:23:00;;0;;288,18;;576,37;0626
Pinto;2020/09/15 10:23:00;34;64,73;209;397,9;820;1561,13;1132
Alameda del Valle;2020/09/15 10:23:00;;0;;0;;0;
Berzosa del Lozoya;2020/09/15 10:23:00;;0;;0;5;2439,02;0203
Los Santos de la Humosa;2020/09/15 10:23:00;;0;6;231,66;48;1853,28;1375
El Álamo;2020/09/15 10:23:00;;31,68;51;538,54;213;2249,21;0040
Pelayos de la Presa;2020/09/15 10:23:00;;0;;154,08;55;2118,64;1090
Galapagar;2020/09/15 10:23:00;43;127,44;237;702,39;730;2163,48;0611
Griñón;2020/09/15 10:23:00;6;58,15;71;688,05;259;2509,93;0663
Gargantilla del Lozoya y Pinilla de Buitrago;2020/09/15 10:23:00;;0;;316,46;;1265,82;0632
Aldea del Fresno;2020/09/15 10:23:00;;0;6;211,42;76;2677,94;0088
Carabaña;2020/09/15 10:23:00;;149,25;9;447,76;36;1791,04;0357
Talamanca de Jarama;2020/09/15 10:23:00;;0;13;337,05;102;2644,54;1454
Chapinería;2020/09/15 10:23:00;;0;9;386,6;24;1030,93;0513
Ciempozuelos;2020/09/15 10:23:00;20;81,33;107;435,1;543;2208,04;0409
Ajalvir;2020/09/15 10:23:00;;0;20;424,45;69;1464,35;0029
San Lorenzo de El Escorial;2020/09/15 10:23:00;6;32,66;86;468,18;317;1725,73;1317
Gascones;2020/09/15 10:23:00;;0;;0;;518,13;0647
San Martín de la Vega;2020/09/15 10:23:00;14;73,03;79;412,1;379;1977,05;1322
Móstoles;2020/09/15 10:23:00;77;36,81;1127;538,76;5381;2572,38;0920
Leganés;2020/09/15 10:23:00;135;71,1;917;482,98;5457;2874,21;0745
Braojos;2020/09/15 10:23:00;;0;;487,8;;1463,41;0246
Cubas de la Sagra;2020/09/15 10:23:00;;31,19;47;732,89;148;2307,81;0506
Algete;2020/09/15 10:23:00;;19,41;104;504,58;443;2149,34;0091
Mejorada del Campo;2020/09/15 10:23:00;16;68,75;90;386,7;457;1963,56;0843
Loeches;2020/09/15 10:23:00;;45,5;21;238,88;131;1490,16;0758
Parla;2020/09/15 10:23:00;148;113,74;1291;992,13;3915;3008,67;1065
Fuentidueña de Tajo;2020/09/15 10:23:00;;97,42;9;438,38;42;2045,79;0604
Ambite;2020/09/15 10:23:00;;168,92;;506,76;16;2702,7;0112
Torremocha de Jarama;2020/09/15 10:23:00;;0;;0;19;1864,57;1533
Anchuelo;2020/09/15 10:23:00;;0;;157,36;16;1258,85;0127
Los Molinos;2020/09/15 10:23:00;;45,57;21;478,47;106;2415,13;0875
Soto del Real;2020/09/15 10:23:00;;0;16;181,84;128;1454,71;1441
Valverde de Alcalá;2020/09/15 10:23:00;;0;;0;9;1935,48;1662
Fuente el Saz de Jarama;2020/09/15 10:23:00;;0;24;358,42;217;3240,74;0590
Horcajo de la Sierra-Aoslos;2020/09/15 10:23:00;;0;;0;;2758,62;0702
Valdeolmos-Alalpardo;2020/09/15 10:23:00;;24,18;19;459,38;51;1233,08;1625
Campo Real;2020/09/15 10:23:00;8;128,82;37;595,81;132;2125,6;0339
Valdeavero;2020/09/15 10:23:00;;0;;64,35;15;965,25;1564
Villamanrique de Tajo;2020/09/15 10:23:00;;0;;142,25;6;853,49;1739
Cobeña;2020/09/15 10:23:00;;0;27;363,49;160;2154,01;0416
Fresnedillas de la Oliva;2020/09/15 10:23:00;;0;;127,23;26;1653,94;0565
Valdilecha;2020/09/15 10:23:00;;68,19;21;715,99;78;2659,39;1659
El Berrueco;2020/09/15 10:23:00;;263,16;;526,32;18;2368,42;0210
Pezuela de las Torres;2020/09/15 10:23:00;;0;;0;;237,53;1111
Villar del Olmo;2020/09/15 10:23:00;;49,73;6;298,36;24;1193,44;1795
Guadarrama;2020/09/15 10:23:00;8;49,9;57;355,54;342;2133,23;0685
San Martín de Valdeiglesias;2020/09/15 10:23:00;;35,47;63;744,77;220;2600,78;1338
Torrelodones;2020/09/15 10:23:00;7;29,51;67;282,5;531;2238,9;1527
Boadilla del Monte;2020/09/15 10:23:00;10;18,33;141;258,38;782;1433,02;0225
Torrejón de Velasco;2020/09/15 10:23:00;;68,46;26;593,34;85;1939,75;1505
Villanueva de Perales;2020/09/15 10:23:00;;0;;191,94;8;511,84;1782
Tielmes;2020/09/15 10:23:00;;113,21;18;679,25;104;3924,53;1467
San Sebastián de los Reyes;2020/09/15 10:23:00;34;38,08;562;629,51;2125;2380,26;1343
Guadalix de la Sierra;2020/09/15 10:23:00;;32,19;33;531,06;98;1577,08;0679
Humanes de Madrid;2020/09/15 10:23:00;39;197,54;209;1058,6;587;2973,21;0730
Chinchón;2020/09/15 10:23:00;;0;8;150,07;63;1181,77;0528
Cadalso de los Vidrios;2020/09/15 10:23:00;;0;;131,62;25;822,64;0318
Hoyo de Manzanares;2020/09/15 10:23:00;;0;22;260,85;99;1173,82;0724
Torrejón de la Calzada;2020/09/15 10:23:00;;45,09;40;450,86;155;1747,07;1492
Estremera;2020/09/15 10:23:00;;0;;0;17;1349,21;0552
Corpa;2020/09/15 10:23:00;;0;;0;7;981,77;0480
Meco;2020/09/15 10:23:00;;27,96;66;461,38;280;1957,36;0838
Madarcos;2020/09/15 10:23:00;;0;;0;;0;
Zarzalejo;2020/09/15 10:23:00;;0;;120,63;55;3317,25;1837
Arganda del Rey;2020/09/15 10:23:00;67;120,96;221;399;1011;1825,27;0148
Collado Mediano;2020/09/15 10:23:00;;14,37;26;373,67;80;1149,76;0468
Daganzo de Arriba;2020/09/15 10:23:00;;9,8;26;254,78;136;1332,68;0534
Manzanares El Real;2020/09/15 10:23:00;;33,94;48;542,99;128;1447,96;0822
Buitrago del Lozoya;2020/09/15 10:23:00;;0;5;265,39;49;2600,85;0278
Valdelaguna;2020/09/15 10:23:00;;106,72;;320,17;9;960,51;1570
Valdepiélagos;2020/09/15 10:23:00;;171,23;;513,7;5;856,16;1631
Casarrubuelos;2020/09/15 10:23:00;;26,47;10;264,69;71;1879,3;0360
Miraflores de la Sierra;2020/09/15 10:23:00;;32,74;22;360,18;81;1326,13;0856
Paracuellos de Jarama;2020/09/15 10:23:00;5;19,79;95;375,95;364;1440,5;1049
El Vellón;2020/09/15 10:23:00;;0;13;663,94;41;2093,97;1684
Lozoya;2020/09/15 10:23:00;;0;;0;;172,12;0761
Collado Villalba;2020/09/15 10:23:00;20;31,41;420;659,56;1417;2225,22;0474
Colmenarejo;2020/09/15 10:23:00;;10,95;32;350,49;127;1391,02;0442
Villavieja del Lozoya;2020/09/15 10:23:00;;0;;0;;1185,77;1821
Prádena del Rincón;2020/09/15 10:23:00;;0;;854,7;;854,7;1179
La Cabrera;2020/09/15 10:23:00;;37,5;12;449,94;44;1649,79;0301
Sevilla la Nueva;2020/09/15 10:23:00;;10,73;36;386,35;235;2522;1415
La Acebeda;2020/09/15 10:23:00;;0;;0;;0;
Redueña;2020/09/15 10:23:00;;0;;0;6;2307,69;1219
Robledillo de la Jara;2020/09/15 10:23:00;;0;;0;;1250;1245
La Serna del Monte;2020/09/15 10:23:00;;0;;0;;2469,14;1381
Colmenar de Oreja;2020/09/15 10:23:00;;12,45;17;211,65;91;1132,97;0437
Rozas de Puerto Real;2020/09/15 10:23:00;;0;;188,68;6;1132,08;1283
Valdemanco;2020/09/15 10:23:00;;0;;437,64;10;1094,09;1586
Brunete;2020/09/15 10:23:00;;27,94;26;242,18;184;1713,86;0262
Titulcia;2020/09/15 10:23:00;;0;;304,65;14;1066,26;1473
Villa del Prado;2020/09/15 10:23:00;;61,35;65;996,93;311;4769,94;1718
Lozoyuela-Navas-Sieteiglesias;2020/09/15 10:23:00;;76,98;;153,96;15;1154,73;9015
Quijorna;2020/09/15 10:23:00;;0;6;174,47;57;1657,46;1198
Valdemoro;2020/09/15 10:23:00;43;56,59;283;372,45;1490;1960,96;1610
Tres Cantos;2020/09/15 10:23:00;11;23,05;128;268,22;740;1550,65;9036
Torrelaguna;2020/09/15 10:23:00;5;105,04;36;756,3;96;2016,81;1512
Rivas-Vaciamadrid;2020/09/15 10:23:00;75;85,08;358;406,13;1616;1833,24;1230
El Atazar;2020/09/15 10:23:00;;0;;0;;0;
Pedrezuela;2020/09/15 10:23:00;;0;16;271,55;82;1391,72;1087
Santa María de la Alameda;2020/09/15 10:23:00;;0;;159,49;15;1196,17;1356
Horcajuelo de la Sierra;2020/09/15 10:23:00;;0;;0;;0;
Arroyomolinos;2020/09/15 10:23:00;6;19,11;113;359,92;441;1404,64;0151
Moralzarzal;2020/09/15 10:23:00;;7,68;52;399,2;183;1404,88;0908
Canencia;2020/09/15 10:23:00;;0;;223,71;;894,85;0344
Villarejo de Salvanés;2020/09/15 10:23:00;7;95,43;21;286,3;114;1554,19;1809
Serranillos del Valle;2020/09/15 10:23:00;;24,01;19;456,18;92;2208,88;1408
Villaviciosa de Odón;2020/09/15 10:23:00;5;17,96;82;294,59;436;1566,37;1816
Camarma de Esteruelas;2020/09/15 10:23:00;;40,89;16;218,1;86;1172,3;0323
Robledo de Chavela;2020/09/15 10:23:00;;0;10;234,19;52;1217,8;1258
Patones;2020/09/15 10:23:00;;0;;554,53;24;4436,23;1071
Navalagamella;2020/09/15 10:23:00;;0;15;574,71;32;1226,05;0954
Rascafría;2020/09/15 10:23:00;;180,29;8;480,77;28;1682,69;1202
El Boalo;2020/09/15 10:23:00;;0;10;133,19;84;1118,81;0231
Majadahonda;2020/09/15 10:23:00;19;26,45;409;569,43;1583;2203,94;0800
Batres;2020/09/15 10:23:00;;0;;59,38;13;771,97;0170
Alcobendas;2020/09/15 10:23:00;57;48,7;969;827,92;3680;3144,22;0066
Alcalá de Henares;2020/09/15 10:23:00;19;9,71;770;393,56;4403;2250,46;0053
Colmenar Viejo;2020/09/15 10:23:00;21;41,38;281;553,67;1010;1990,07;0455
San Fernando de Henares;2020/09/15 10:23:00;30;76,08;178;451,41;850;2155,61;1300
Villalbilla;2020/09/15 10:23:00;;0;38;273,81;170;1224,96;1723
El Escorial;2020/09/15 10:23:00;6;37,12;59;365,05;286;1769,58;0549
Colmenar del Arroyo;2020/09/15 10:23:00;;0;10;579,71;72;4173,91;0421
Torrejón de Ardoz;2020/09/15 10:23:00;31;23,6;866;659,18;3526;2683,9;1489
Piñuécar-Gandullas;2020/09/15 10:23:00;;0;;0;;1621,62;1147
Brea de Tajo;2020/09/15 10:23:00;;0;5;954,2;17;3244,27;0259
El Molar;2020/09/15 10:23:00;;11,19;44;492,28;120;1342,58;0869
Belmonte de Tajo;2020/09/15 10:23:00;;0;;120,19;19;1141,83;0199
