municipio_distrito;fecha_informe;casos_confirmados_activos_ultimos_14dias;tasa_incidencia_acumulada_activos_ultimos_14dias;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Horcajuelo de la Sierra;2020/08/18 09:32:00;;0;;0;;0;
Pozuelo de Alarcón;2020/08/18 09:32:00;44;50,91;105;121,5;1062;1228,85;1150
San Agustín del Guadalix;2020/08/18 09:32:00;8;59,8;23;171,91;130;971,67;1296
Las Rozas de Madrid;2020/08/18 09:32:00;45;46,97;105;109,59;1060;1106,31;1277
Valdaracete;2020/08/18 09:32:00;;0;;0;7;1149,43;1551
Pozuelo del Rey;2020/08/18 09:32:00;;0;;0;5;435,92;1163
Ajalvir;2020/08/18 09:32:00;;63,67;5;106,11;42;891,34;29
Perales de Tajuña;2020/08/18 09:32:00;;102,21;11;374,79;25;851,79;1104
Valdemorillo;2020/08/18 09:32:00;;15,98;12;95,86;74;591,15;1603
Velilla de San Antonio;2020/08/18 09:32:00;6;49,04;28;228,83;119;972,54;1678
Villanueva de la Cañada;2020/08/18 09:32:00;6;27,98;19;88,6;204;951,27;1760
Villanueva del Pardillo;2020/08/18 09:32:00;5;29,1;14;81,49;153;890,57;1776
Nuevo Baztán;2020/08/18 09:32:00;;47,8;8;127,47;50;796,69;1006
Villamantilla;2020/08/18 09:32:00;;0;;0;8;555,17;1757
Villamanta;2020/08/18 09:32:00;;0;;78,28;19;743,64;1744
El Álamo;2020/08/18 09:32:00;5;52,8;17;179,51;138;1457,23;40
Puentes Viejas;2020/08/18 09:32:00;;0;;147,28;;441,83;9020
Santorcaz;2020/08/18 09:32:00;;0;;0;8;902,93;1369
Venturada;2020/08/18 09:32:00;;0;;46,23;;184,93;1697
Alcalá de Henares;2020/08/18 09:32:00;142;72,58;292;149,25;2976;1521,09;53
Valdemaqueda;2020/08/18 09:32:00;;0;;0;5;640,2;1599
Olmeda de las Fuentes;2020/08/18 09:32:00;;0;;0;;1149,43;1013
Pinto;2020/08/18 09:32:00;26;49,5;73;138,98;465;885,28;1132
Los Santos de la Humosa;2020/08/18 09:32:00;;77,22;7;270,27;30;1158,3;1375
Alcobendas;2020/08/18 09:32:00;133;113,64;496;423,79;1542;1317,5;66
Pelayos de la Presa;2020/08/18 09:32:00;;77,04;8;308,17;29;1117,1;1090
Alcorcón;2020/08/18 09:32:00;196;114,95;386;226,37;2506;1469,67;72
Talamanca de Jarama;2020/08/18 09:32:00;;25,93;5;129,63;72;1866,74;1454
San Lorenzo de El Escorial;2020/08/18 09:32:00;5;27,22;11;59,88;174;947,25;1317
San Martín de la Vega;2020/08/18 09:32:00;35;182,58;80;417,32;213;1111,11;1322
Parla;2020/08/18 09:32:00;157;120,65;397;305,09;1325;1018,26;1065
Aldea del Fresno;2020/08/18 09:32:00;;0;;105,71;68;2396,05;88
Torremocha de Jarama;2020/08/18 09:32:00;;0;;0;14;1373,9;1533
Algete;2020/08/18 09:32:00;27;131;60;291,11;222;1077,09;91
Soto del Real;2020/08/18 09:32:00;;34,09;11;125,01;96;1091,03;1441
Valverde de Alcalá;2020/08/18 09:32:00;;0;;0;8;1720,43;1662
Valdeolmos-Alalpardo;2020/08/18 09:32:00;;0;;96,71;15;362,67;1625
Valdeavero;2020/08/18 09:32:00;;64,35;;64,35;11;707,85;1564
Villamanrique de Tajo;2020/08/18 09:32:00;;0;;0;;568,99;1739
Valdilecha;2020/08/18 09:32:00;;34,09;;136,38;32;1091,03;1659
Pezuela de las Torres;2020/08/18 09:32:00;;0;;0;;237,53;1111
Alpedrete;2020/08/18 09:32:00;8;54,89;16;109,78;182;1248,71;105
Villar del Olmo;2020/08/18 09:32:00;;99,45;;198,91;11;546,99;1795
San Martín de Valdeiglesias;2020/08/18 09:32:00;;0;;35,47;130;1536,82;1338
Torrelodones;2020/08/18 09:32:00;9;37,95;22;92,76;393;1657,04;1527
Torrejón de Velasco;2020/08/18 09:32:00;;0;;91,28;31;707,44;1505
Ambite;2020/08/18 09:32:00;;0;;0;7;1182,43;112
Villanueva de Perales;2020/08/18 09:32:00;;0;;0;5;319,9;1782
Tielmes;2020/08/18 09:32:00;5;188,68;9;339,62;47;1773,58;1467
San Sebastián de los Reyes;2020/08/18 09:32:00;62;69,45;296;331,56;1012;1133,56;1343
Torrejón de la Calzada;2020/08/18 09:32:00;7;78,9;15;169,07;66;743,91;1492
Zarzalejo;2020/08/18 09:32:00;;60,31;;120,63;47;2834,74;1837
Anchuelo;2020/08/18 09:32:00;;78,68;;157,36;11;865,46;127
Valdelaguna;2020/08/18 09:32:00;;0;;106,72;;213,45;1570
Valdepiélagos;2020/08/18 09:32:00;;171,23;;171,23;;171,23;1631
Aranjuez;2020/08/18 09:32:00;18;30,2;56;93,95;583;978,07;133
Paracuellos de Jarama;2020/08/18 09:32:00;17;67,28;43;170,17;157;621,31;1049
El Vellón;2020/08/18 09:32:00;;102,15;6;306,44;20;1021,45;1684
Sevilla la Nueva;2020/08/18 09:32:00;;21,46;7;75,12;172;1845,89;1415
Redueña;2020/08/18 09:32:00;;0;;0;;769,23;1219
Robledillo de la Jara;2020/08/18 09:32:00;;0;;0;;1250;1245
La Serna del Monte;2020/08/18 09:32:00;;0;;0;;1234,57;1381
Arganda del Rey;2020/08/18 09:32:00;40;72,22;92;166,1;545;983,95;148
Rozas de Puerto Real;2020/08/18 09:32:00;;0;;0;5;943,4;1283
Valdemanco;2020/08/18 09:32:00;;0;;0;;218,82;1586
Arroyomolinos;2020/08/18 09:32:00;8;25,48;29;92,37;260;828,13;151
Titulcia;2020/08/18 09:32:00;;0;;0;10;761,61;1473
Villa del Prado;2020/08/18 09:32:00;;61,35;10;153,37;150;2300,61;1718
Lozoyuela-Navas-Sieteiglesias;2020/08/18 09:32:00;;0;;76,98;5;384,91;9015
Quijorna;2020/08/18 09:32:00;;29,08;6;174,47;44;1279,44;1198
Valdemoro;2020/08/18 09:32:00;38;50,01;85;111,87;1020;1342,41;1610
Tres Cantos;2020/08/18 09:32:00;11;23,05;26;54,48;524;1098,03;9036
Torrelaguna;2020/08/18 09:32:00;;63,03;6;126,05;33;693,28;1512
Rivas-Vaciamadrid;2020/08/18 09:32:00;51;57,86;113;128,19;788;893,93;1230
Pedrezuela;2020/08/18 09:32:00;;0;;16,97;44;746,78;1087
Santa María de la Alameda;2020/08/18 09:32:00;;0;;0;7;558,21;1356
Villarejo de Salvanés;2020/08/18 09:32:00;;40,9;6;81,8;53;722,56;1809
Serranillos del Valle;2020/08/18 09:32:00;;96,04;9;216,09;49;1176,47;1408
Villaviciosa de Odón;2020/08/18 09:32:00;10;35,93;19;68,26;270;970;1816
Batres;2020/08/18 09:32:00;;0;;0;11;653,21;170
Robledo de Chavela;2020/08/18 09:32:00;;0;6;140,52;37;866,51;1258
Patones;2020/08/18 09:32:00;;0;;0;17;3142,33;1071
Rascafría;2020/08/18 09:32:00;;0;;0;7;420,67;1202
San Fernando de Henares;2020/08/18 09:32:00;27;68,47;52;131,87;520;1318,73;1300
Villalbilla;2020/08/18 09:32:00;;28,82;11;79,26;113;814,24;1723
Torrejón de Ardoz;2020/08/18 09:32:00;156;118,74;482;366,89;1830;1392,95;1489
Becerril de la Sierra;2020/08/18 09:32:00;;52,5;8;140,01;53;927,55;186
Piñuécar-Gandullas;2020/08/18 09:32:00;;0;;540,54;;540,54;1147
Torres de la Alameda;2020/08/18 09:32:00;;25,71;10;128,55;112;1439,77;1548
Somosierra;2020/08/18 09:32:00;;0;;0;;2325,58;1436
Orusco de Tajuña;2020/08/18 09:32:00;;0;;80,39;26;2090,03;1028
Ribatejada;2020/08/18 09:32:00;;0;;0;;255,43;1224
Villaconejos;2020/08/18 09:32:00;;59,03;;88,55;13;383,71;1701
Belmonte de Tajo;2020/08/18 09:32:00;;0;;120,19;8;480,77;199
Valdetorres de Jarama;2020/08/18 09:32:00;;0;;88,95;24;533,69;1646
Berzosa del Lozoya;2020/08/18 09:32:00;;0;;0;;975,61;203
El Berrueco;2020/08/18 09:32:00;;0;;0;12;1578,95;210
Boadilla del Monte;2020/08/18 09:32:00;26;47,65;60;109,95;503;921,75;225
El Boalo;2020/08/18 09:32:00;;39,96;12;159,83;63;839,1;231
Braojos;2020/08/18 09:32:00;;0;;0;;975,61;246
Brea de Tajo;2020/08/18 09:32:00;;0;;0;8;1526,72;259
Brunete;2020/08/18 09:32:00;;37,26;14;130,4;138;1285,39;262
Buitrago del Lozoya;2020/08/18 09:32:00;;53,08;;212,31;23;1220,81;278
Bustarviejo;2020/08/18 09:32:00;;0;;0;12;479,42;284
Cabanillas de la Sierra;2020/08/18 09:32:00;;0;;0;11;1455,03;297
La Cabrera;2020/08/18 09:32:00;;0;;0;12;449,94;301
Cadalso de los Vidrios;2020/08/18 09:32:00;;0;;65,81;18;592,3;318
Camarma de Esteruelas;2020/08/18 09:32:00;;40,89;;54,53;56;763,36;323
Campo Real;2020/08/18 09:32:00;;64,41;11;177,13;47;756,84;339
Canencia;2020/08/18 09:32:00;;0;;0;;671,14;344
Carabaña;2020/08/18 09:32:00;;0;;0;15;746,27;357
Casarrubuelos;2020/08/18 09:32:00;5;132,35;25;661,73;42;1111,7;360
Cenicientos;2020/08/18 09:32:00;;49,19;;98,38;41;2016,72;376
Cercedilla;2020/08/18 09:32:00;;28,47;6;85,4;143;2035,3;382
Cervera de Buitrago;2020/08/18 09:32:00;;0;;0;;2000;395
Ciempozuelos;2020/08/18 09:32:00;13;52,86;35;142,32;335;1362,23;409
Cobeña;2020/08/18 09:32:00;;40,39;6;80,78;100;1346,26;416
Colmenar del Arroyo;2020/08/18 09:32:00;;0;;57,97;55;3188,41;421
Colmenar de Oreja;2020/08/18 09:32:00;;0;;49,8;36;448,21;437
Colmenarejo;2020/08/18 09:32:00;;0;5;54,76;59;646,22;442
Colmenar Viejo;2020/08/18 09:32:00;17;33,5;32;63,05;567;1117,2;455
Collado Mediano;2020/08/18 09:32:00;;43,12;;43,12;40;574,88;468
Collado Villalba;2020/08/18 09:32:00;38;59,67;132;207,29;758;1190,35;474
Corpa;2020/08/18 09:32:00;;0;;0;6;841,51;480
Coslada;2020/08/18 09:32:00;45;55,11;138;168,99;1072;1312,74;493
Cubas de la Sagra;2020/08/18 09:32:00;7;109,15;25;389,83;68;1060,35;506
Chapinería;2020/08/18 09:32:00;;0;;128,87;12;515,46;513
Chinchón;2020/08/18 09:32:00;;18,76;;75,03;41;769,09;528
Daganzo de Arriba;2020/08/18 09:32:00;6;58,79;16;156,79;67;656,54;534
El Escorial;2020/08/18 09:32:00;11;68,06;31;191,81;182;1126,1;549
Estremera;2020/08/18 09:32:00;;79,37;;238,1;14;1111,11;552
Fresnedillas de la Oliva;2020/08/18 09:32:00;;190,84;6;381,68;15;954,2;565
Fresno de Torote;2020/08/18 09:32:00;;0;;0;16;720,4;571
Fuenlabrada;2020/08/18 09:32:00;282;145,59;649;335,05;2663;1374,81;587
Fuente el Saz de Jarama;2020/08/18 09:32:00;9;134,41;49;731,78;141;2105,73;590
Fuentidueña de Tajo;2020/08/18 09:32:00;;194,84;;194,84;25;1217,73;604
Galapagar;2020/08/18 09:32:00;5;14,82;23;68,16;387;1146,94;611
Garganta de los Montes;2020/08/18 09:32:00;;0;;0;;288,18;626
Gargantilla del Lozoya y Pinilla de Buitrago;2020/08/18 09:32:00;;0;;0;;949,37;632
Getafe;2020/08/18 09:32:00;158;86,16;349;190,32;2162;1179,01;650
Griñón;2020/08/18 09:32:00;8;77,53;24;232,58;150;1453,63;663
Guadalix de la Sierra;2020/08/18 09:32:00;;0;;32,19;57;917,28;679
Guadarrama;2020/08/18 09:32:00;8;49,9;16;99,8;256;1596,81;685
La Hiruela;2020/08/18 09:32:00;;0;;0;;3508,77;698
Horcajo de la Sierra-Aoslos;2020/08/18 09:32:00;;0;;0;;2758,62;702
Hoyo de Manzanares;2020/08/18 09:32:00;;35,57;5;59,28;58;687,69;724
Humanes de Madrid;2020/08/18 09:32:00;18;91,17;40;202,6;213;1078,86;730
Leganés;2020/08/18 09:32:00;216;113,77;419;220,69;4016;2115,23;745
Loeches;2020/08/18 09:32:00;;45,5;20;227,51;81;921,4;758
Lozoya;2020/08/18 09:32:00;;0;;0;;172,12;761
Majadahonda;2020/08/18 09:32:00;49;68,22;142;197,7;882;1227,97;800
Manzanares El Real;2020/08/18 09:32:00;;22,62;;45,25;58;656,11;822
Meco;2020/08/18 09:32:00;11;76,9;17;118,84;178;1244,32;838
Mejorada del Campo;2020/08/18 09:32:00;8;34,37;40;171,87;245;1052,68;843
Miraflores de la Sierra;2020/08/18 09:32:00;;16,37;;49,12;45;736,74;856
El Molar;2020/08/18 09:32:00;;33,56;;33,56;49;548,22;869
Los Molinos;2020/08/18 09:32:00;;45,57;6;136,71;67;1526,54;875
Montejo de la Sierra;2020/08/18 09:32:00;;0;;566,57;;849,86;881
Moraleja de Enmedio;2020/08/18 09:32:00;;58,41;8;155,76;38;739,88;894
Moralzarzal;2020/08/18 09:32:00;;30,71;6;46,06;96;736,99;908
Morata de Tajuña;2020/08/18 09:32:00;;13,02;9;117,14;126;1639,98;915
Móstoles;2020/08/18 09:32:00;230;109,95;569;272,01;3338;1595,72;920
Navacerrada;2020/08/18 09:32:00;;33,65;;33,65;27;908,48;936
Navalafuente;2020/08/18 09:32:00;;0;;138,03;10;690,13;941
Navalagamella;2020/08/18 09:32:00;;38,31;;38,31;10;383,14;954
Navalcarnero;2020/08/18 09:32:00;12;40,96;34;116,05;269;918,15;967
Navarredonda y San Mamés;2020/08/18 09:32:00;;0;;0;;775,19;973
Navas del Rey;2020/08/18 09:32:00;;34,27;;102,81;88;3015,76;992
Madrid-Centro;2020/08/18 09:32:00;148;109,75;301;223,21;1803;1337,06;79601
Madrid-Arganzuela;2020/08/18 09:32:00;168;109,23;333;216,51;2326;1512,32;79602
Madrid-Retiro;2020/08/18 09:32:00;102;85,49;213;178,52;2054;1721,46;79603
Madrid-Salamanca;2020/08/18 09:32:00;117;80,08;230;157,42;2156;1475,66;79604
Madrid-Chamartín;2020/08/18 09:32:00;78;53,48;196;134,39;2178;1493,33;79605
Madrid-Tetuán;2020/08/18 09:32:00;141;89,23;337;213,26;2730;1727,6;79606
Madrid-Chamberí;2020/08/18 09:32:00;84;60,27;198;142,06;2109;1513,14;79607
Madrid-Fuencarral-El Pardo;2020/08/18 09:32:00;148;60,18;340;138,25;3904;1587,39;79608
Madrid-Moncloa-Aravaca;2020/08/18 09:32:00;70;58,62;179;149,89;1907;1596,9;79609
Madrid-Latina;2020/08/18 09:32:00;266;111,66;606;254,39;3995;1677,04;79610
Madrid-Carabanchel;2020/08/18 09:32:00;503;198,74;1105;436,59;4442;1755,04;79611
Madrid-Usera;2020/08/18 09:32:00;467;334,19;818;585,37;2576;1843,41;79612
Madrid-Puente de Vallecas;2020/08/18 09:32:00;488;207,79;1099;467,94;4847;2063,81;79613
Madrid-Moratalaz;2020/08/18 09:32:00;96;101,51;194;205,14;1807;1910,75;79614
Madrid-Ciudad Lineal;2020/08/18 09:32:00;233;107,73;522;241,35;3233;1494,79;79615
Madrid-Hortaleza;2020/08/18 09:32:00;95;50,48;253;134,44;2479;1317,31;79616
Madrid-Villaverde;2020/08/18 09:32:00;332;222,9;631;423,64;2482;1666,38;79617
Madrid-Villa de Vallecas;2020/08/18 09:32:00;111;100,58;281;254,61;1693;1534;79618
Madrid-Vicálvaro;2020/08/18 09:32:00;70;97,1;155;215,01;1169;1621,56;79619
Madrid-San Blas - Canillejas;2020/08/18 09:32:00;130;82,2;267;168,84;2068;1307,69;79620
Madrid-Barajas;2020/08/18 09:32:00;23;46,99;48;98,07;573;1170,7;79621
La Acebeda;2020/08/11 09:31:00;;0;;0;;0;
Puebla de la Sierra;2020/08/11 09:31:00;;0;;0;;0;
Robregordo;2020/08/11 09:31:00;;0;;0;;0;
Pinilla del Valle;2020/08/11 09:31:00;;0;;0;;0;
Alameda del Valle;2020/08/11 09:31:00;;0;;0;;0;
Gascones;2020/08/11 09:31:00;;0;;0;;0;
Madarcos;2020/08/11 09:31:00;;0;;0;;0;
Villavieja del Lozoya;2020/08/11 09:31:00;;0;;0;;0;
Prádena del Rincón;2020/08/11 09:31:00;;0;;0;;0;
El Atazar;2020/08/11 09:31:00;;0;;0;;0;
Horcajuelo de la Sierra;2020/08/11 09:31:00;;0;;0;;0;
Pozuelo de Alarcón;2020/08/11 09:31:00;45;52,07;107;123,81;1003;1160,58;1150
San Agustín del Guadalix;2020/08/11 09:31:00;;22,42;11;82,22;115;859,56;1296
Las Rozas de Madrid;2020/08/11 09:31:00;32;33,4;67;69,93;996;1039,51;1277
Valdaracete;2020/08/11 09:31:00;;0;;0;7;1149,43;1551
Pozuelo del Rey;2020/08/11 09:31:00;;87,18;;87,18;5;435,92;1163
Ajalvir;2020/08/11 09:31:00;;21,22;;63,67;40;848,9;29
Perales de Tajuña;2020/08/11 09:31:00;;34,07;;102,21;16;545,14;1104
Valdemorillo;2020/08/11 09:31:00;;23,97;6;47,93;62;495,29;1603
Velilla de San Antonio;2020/08/11 09:31:00;;32,69;11;89,9;94;768,22;1678
Villanueva de la Cañada;2020/08/11 09:31:00;;18,65;10;46,63;189;881,32;1760
Villanueva del Pardillo;2020/08/11 09:31:00;;23,28;21;122,24;143;832,36;1776
Nuevo Baztán;2020/08/11 09:31:00;;15,93;5;79,67;42;669,22;1006
Villamantilla;2020/08/11 09:31:00;;0;;0;8;555,17;1757
Villamanta;2020/08/11 09:31:00;;0;;0;17;665,36;1744
El Álamo;2020/08/11 09:31:00;;0;11;116,16;124;1309,4;40
Puentes Viejas;2020/08/11 09:31:00;;0;;147,28;;441,83;9020
Santorcaz;2020/08/11 09:31:00;;0;;0;8;902,93;1369
Venturada;2020/08/11 09:31:00;;0;;0;;138,7;1697
Alcalá de Henares;2020/08/11 09:31:00;49;25,04;154;78,71;2762;1411,71;53
Valdemaqueda;2020/08/11 09:31:00;;0;;0;5;640,2;1599
Olmeda de las Fuentes;2020/08/11 09:31:00;;0;;0;;1149,43;1013
Pinto;2020/08/11 09:31:00;8;15,23;31;59,02;414;788,18;1132
Los Santos de la Humosa;2020/08/11 09:31:00;;0;;115,83;24;926,64;1375
Alcobendas;2020/08/11 09:31:00;61;52,12;172;146,96;1152;984,28;66
Pelayos de la Presa;2020/08/11 09:31:00;;0;;38,52;22;847,46;1090
Alcorcón;2020/08/11 09:31:00;65;38,12;208;121,98;2253;1321,3;72
Talamanca de Jarama;2020/08/11 09:31:00;;0;;0;68;1763,03;1454
San Lorenzo de El Escorial;2020/08/11 09:31:00;;16,33;16;87,1;169;920,03;1317
San Martín de la Vega;2020/08/11 09:31:00;;20,87;68;354,72;187;975,48;1322
Parla;2020/08/11 09:31:00;45;34,58;114;87,61;999;767,73;1065
Aldea del Fresno;2020/08/11 09:31:00;;0;;105,71;66;2325,58;88
Torremocha de Jarama;2020/08/11 09:31:00;;0;;0;14;1373,9;1533
Algete;2020/08/11 09:31:00;;19,41;17;82,48;164;795,69;91
Soto del Real;2020/08/11 09:31:00;;22,73;6;68,19;89;1011,48;1441
Valverde de Alcalá;2020/08/11 09:31:00;;0;;0;8;1720,43;1662
Valdeolmos-Alalpardo;2020/08/11 09:31:00;;0;;0;11;265,96;1625
Valdeavero;2020/08/11 09:31:00;;0;;0;10;643,5;1564
Villamanrique de Tajo;2020/08/11 09:31:00;;0;;0;;568,99;1739
Valdilecha;2020/08/11 09:31:00;;34,09;;102,28;29;988,75;1659
Pezuela de las Torres;2020/08/11 09:31:00;;0;;0;;237,53;1111
Alpedrete;2020/08/11 09:31:00;;13,72;12;82,33;173;1186,96;105
Villar del Olmo;2020/08/11 09:31:00;;49,73;;49,73;8;397,81;1795
San Martín de Valdeiglesias;2020/08/11 09:31:00;;11,82;;23,64;127;1501,36;1338
Torrelodones;2020/08/11 09:31:00;;16,87;16;67,46;384;1619,09;1527
Torrejón de Velasco;2020/08/11 09:31:00;;0;;0;27;616,16;1505
Ambite;2020/08/11 09:31:00;;0;;0;7;1182,43;112
Villanueva de Perales;2020/08/11 09:31:00;;0;;0;5;319,9;1782
Tielmes;2020/08/11 09:31:00;;37,74;;113,21;41;1547,17;1467
San Sebastián de los Reyes;2020/08/11 09:31:00;26;29,12;125;140,02;798;893,86;1343
Torrejón de la Calzada;2020/08/11 09:31:00;5;56,36;6;67,63;52;586,11;1492
Zarzalejo;2020/08/11 09:31:00;;60,31;;120,63;46;2774,43;1837
Anchuelo;2020/08/11 09:31:00;;0;;78,68;10;786,78;127
Valdelaguna;2020/08/11 09:31:00;;0;;0;;106,72;1570
Valdepiélagos;2020/08/11 09:31:00;;0;;171,23;;171,23;1631
Aranjuez;2020/08/11 09:31:00;11;18,45;19;31,88;538;902,58;133
Paracuellos de Jarama;2020/08/11 09:31:00;11;43,53;37;146,42;132;522,38;1049
El Vellón;2020/08/11 09:31:00;;0;;51,07;15;766,09;1684
Sevilla la Nueva;2020/08/11 09:31:00;;32,2;8;85,86;169;1813,69;1415
Redueña;2020/08/11 09:31:00;;0;;0;;769,23;1219
Robledillo de la Jara;2020/08/11 09:31:00;;0;;0;;1250;1245
La Serna del Monte;2020/08/11 09:31:00;;0;;1234,57;;1234,57;1381
Arganda del Rey;2020/08/11 09:31:00;14;25,28;32;57,77;467;843,13;148
Rozas de Puerto Real;2020/08/11 09:31:00;;0;;0;5;943,4;1283
Valdemanco;2020/08/11 09:31:00;;0;;0;;218,82;1586
Arroyomolinos;2020/08/11 09:31:00;;3,19;20;63,7;237;754,87;151
Titulcia;2020/08/11 09:31:00;;0;;0;10;761,61;1473
Villa del Prado;2020/08/11 09:31:00;;0;8;122,7;145;2223,93;1718
Lozoyuela-Navas-Sieteiglesias;2020/08/11 09:31:00;;0;;0;;307,93;9015
Quijorna;2020/08/11 09:31:00;;58,16;5;145,39;40;1163,13;1198
Valdemoro;2020/08/11 09:31:00;6;7,9;36;47,38;957;1259,49;1610
Tres Cantos;2020/08/11 09:31:00;;8,38;15;31,43;504;1056,12;9036
Torrelaguna;2020/08/11 09:31:00;;42,02;;63,03;30;630,25;1512
Rivas-Vaciamadrid;2020/08/11 09:31:00;11;12,48;44;49,91;698;791,83;1230
Pedrezuela;2020/08/11 09:31:00;;0;;33,94;42;712,83;1087
Santa María de la Alameda;2020/08/11 09:31:00;;0;;0;7;558,21;1356
Villarejo de Salvanés;2020/08/11 09:31:00;;27,27;;27,27;47;640,76;1809
Serranillos del Valle;2020/08/11 09:31:00;;24,01;;72,03;42;1008,4;1408
Villaviciosa de Odón;2020/08/11 09:31:00;;3,59;5;17,96;252;905,34;1816
Batres;2020/08/11 09:31:00;;0;;59,38;11;653,21;170
Robledo de Chavela;2020/08/11 09:31:00;;0;;23,42;32;749,41;1258
Patones;2020/08/11 09:31:00;;0;;0;16;2957,49;1071
Rascafría;2020/08/11 09:31:00;;0;;0;7;420,67;1202
San Fernando de Henares;2020/08/11 09:31:00;17;43,11;25;63,4;483;1224,89;1300
Villalbilla;2020/08/11 09:31:00;;14,41;5;36,03;106;763,8;1723
Torrejón de Ardoz;2020/08/11 09:31:00;85;64,7;275;209,32;1510;1149,37;1489
Becerril de la Sierra;2020/08/11 09:31:00;;52,5;13;227,51;49;857,54;186
Piñuécar-Gandullas;2020/08/11 09:31:00;;0;;540,54;;540,54;1147
Torres de la Alameda;2020/08/11 09:31:00;;25,71;10;128,55;108;1388,35;1548
Somosierra;2020/08/11 09:31:00;;0;;0;;2325,58;1436
Orusco de Tajuña;2020/08/11 09:31:00;;0;;0;24;1929,26;1028
Ribatejada;2020/08/11 09:31:00;;0;;0;;255,43;1224
Villaconejos;2020/08/11 09:31:00;;29,52;;29,52;10;295,16;1701
Belmonte de Tajo;2020/08/11 09:31:00;;0;;60,1;6;360,58;199
Valdetorres de Jarama;2020/08/11 09:31:00;;0;;22,24;20;444,74;1646
Berzosa del Lozoya;2020/08/11 09:31:00;;0;;0;;975,61;203
El Berrueco;2020/08/11 09:31:00;;0;;0;12;1578,95;210
Boadilla del Monte;2020/08/11 09:31:00;11;20,16;39;71,47;462;846,62;225
El Boalo;2020/08/11 09:31:00;;26,64;5;66,6;54;719,23;231
Braojos;2020/08/11 09:31:00;;0;;0;;975,61;246
Brea de Tajo;2020/08/11 09:31:00;;0;;0;8;1526,72;259
Brunete;2020/08/11 09:31:00;;18,63;7;65,2;129;1201,56;262
Buitrago del Lozoya;2020/08/11 09:31:00;;0;;53,08;20;1061,57;278
Bustarviejo;2020/08/11 09:31:00;;39,95;;39,95;12;479,42;284
Cabanillas de la Sierra;2020/08/11 09:31:00;;132,28;;132,28;11;1455,03;297
La Cabrera;2020/08/11 09:31:00;;0;;0;12;449,94;301
Cadalso de los Vidrios;2020/08/11 09:31:00;;32,91;;32,91;16;526,49;318
Camarma de Esteruelas;2020/08/11 09:31:00;;27,26;;54,53;53;722,46;323
Campo Real;2020/08/11 09:31:00;;16,1;;48,31;38;611,92;339
Canencia;2020/08/11 09:31:00;;0;;0;;671,14;344
Carabaña;2020/08/11 09:31:00;;49,75;;49,75;15;746,27;357
Casarrubuelos;2020/08/11 09:31:00;;79,41;9;238,22;21;555,85;360
Cenicientos;2020/08/11 09:31:00;;0;;0;39;1918,35;376
Cercedilla;2020/08/11 09:31:00;;28,47;5;71,16;139;1978,37;382
Cervera de Buitrago;2020/08/11 09:31:00;;0;;0;;2000;395
Ciempozuelos;2020/08/11 09:31:00;7;28,46;31;126,06;314;1276,84;409
Cobeña;2020/08/11 09:31:00;;26,93;;53,85;96;1292,41;416
Colmenar del Arroyo;2020/08/11 09:31:00;;0;;0;54;3130,43;421
Colmenar de Oreja;2020/08/11 09:31:00;;0;;0;32;398,41;437
Colmenarejo;2020/08/11 09:31:00;;10,95;;10,95;54;591,46;442
Colmenar Viejo;2020/08/11 09:31:00;;7,88;7;13,79;537;1058,09;455
Collado Mediano;2020/08/11 09:31:00;;28,74;;28,74;39;560,51;468
Collado Villalba;2020/08/11 09:31:00;15;23,56;65;102,07;659;1034,88;474
Corpa;2020/08/11 09:31:00;;0;;0;6;841,51;480
Coslada;2020/08/11 09:31:00;20;24,49;45;55,11;958;1173,14;493
Cubas de la Sagra;2020/08/11 09:31:00;7;109,15;14;218,31;51;795,26;506
Chapinería;2020/08/11 09:31:00;;0;;85,91;11;472,51;513
Chinchón;2020/08/11 09:31:00;;0;;18,76;37;694,05;528
Daganzo de Arriba;2020/08/11 09:31:00;;0;11;107,79;62;607,55;534
El Escorial;2020/08/11 09:31:00;;24,75;10;61,87;160;989,98;549
Estremera;2020/08/11 09:31:00;;0;;0;11;873,02;552
Fresnedillas de la Oliva;2020/08/11 09:31:00;;63,61;;63,61;10;636,13;565
Fresno de Torote;2020/08/11 09:31:00;;0;;0;16;720,4;571
Fuenlabrada;2020/08/11 09:31:00;110;56,79;304;156,94;2171;1120,81;587
Fuente el Saz de Jarama;2020/08/11 09:31:00;10;149,34;47;701,91;107;1597,97;590
Fuentidueña de Tajo;2020/08/11 09:31:00;;48,71;;48,71;22;1071,6;604
Galapagar;2020/08/11 09:31:00;16;47,42;49;145,22;373;1105,45;611
Garganta de los Montes;2020/08/11 09:31:00;;0;;0;;288,18;626
Gargantilla del Lozoya y Pinilla de Buitrago;2020/08/11 09:31:00;;0;;0;;949,37;632
Getafe;2020/08/11 09:31:00;72;39,26;192;104,7;1941;1058,49;650
Griñón;2020/08/11 09:31:00;;38,76;12;116,29;130;1259,81;663
Guadalix de la Sierra;2020/08/11 09:31:00;;0;;0;55;885,1;679
Guadarrama;2020/08/11 09:31:00;;24,95;11;68,61;249;1553,14;685
La Hiruela;2020/08/11 09:31:00;;0;;0;;3508,77;698
