Fecha;cod_ine;CCAA;Total Pacientes COVID ingresados;% Camas Ocupadas COVID;Total pacientes COVID en UCI;% Camas Ocupadas UCI COVID;Ingresos COVID últimas 24 h;Altas COVID últimas 24 h
2020-08-25;8;Castilla La Mancha;198,0;4,50;24,0;;34,0;20,0
2020-08-25;7;Castilla y León;268,0;5,40;24,0;;53,0;29,0
2020-08-25;9;Cataluña;1023,0;4,50;156,0;;112,0;112,0
2020-08-25;18;Ceuta;1,0;0,60;0,0;;0,0;0,0
2020-08-25;10;C. Valenciana;409,0;3,70;47,0;;76,0;40,0
2020-08-25;11;Extremadura;38,0;1,50;6,0;;5,0;2,0
2020-08-25;12;Galicia;104,0;1,50;10,0;;19,0;8,0
2020-08-25;13;Madrid;1793,0;13,60;178,0;;289,0;196,0
2020-08-25;19;Melilla;4,0;2,30;1,0;;0,0;0,0
2020-08-25;14;Murcia;115,0;5,40;17,0;;25,0;15,0
2020-08-25;15;Navarra;58,0;3,40;10,0;;14,0;5,0
2020-08-25;16;País Vasco;401,0;10,10;38,0;;46,0;42,0
2020-08-25;17;La Rioja;34,0;4,40;2,0;;4,0;5,0
2020-08-25;0;España;5903,0;5,50;697,0;;922,0;593,0
2020-08-26;1;Andalucía;505,0;3;62,0;;119,0;47,0
2020-08-26;2;Aragón;513,0;13;63,0;;49,0;51,0
2020-08-26;3;Asturias;23,0;1;2,0;;11,0;2,0
2020-08-26;4;Baleares;258,0;9;40,0;;33,0;34,0
2020-08-26;5;Canarias;164,0;3;29,0;;26,0;13,0
2020-08-26;6;Cantabria;41,0;3;1,0;;11,0;1,0
2020-08-26;8;Castilla La Mancha;202,0;5;28,0;;29,0;24,0
2020-08-26;7;Castilla y León;300,0;6;26,0;;49,0;25,0
2020-08-26;9;Cataluña;1039,0;4;147,0;;117,0;108,0
2020-08-26;18;Ceuta;1,0;1;0,0;;0,0;0,0
2020-08-26;10;C. Valenciana;407,0;4;51,0;;73,0;49,0
2020-08-26;11;Extremadura;42,0;2;10,0;;3,0;4,0
2020-08-26;12;Galicia;120,0;1;12,0;;19,0;5,0
2020-08-26;13;Madrid;1808,0;13;176,0;;258,0;201,0
2020-08-26;19;Melilla;3,0;2;1,0;;0,0;1,0
2020-08-26;14;Murcia;108,0;5;17,0;;8,0;17,0
2020-08-26;15;Navarra;61,0;4;9,0;;11,0;5,0
